#TYPE Selected.System.IO.DirectoryInfo
"Name","Length"
"0",
"578",
"643",
"674",
"729",
"730",
"746",
"Alumnos",
"Archivos de programa",
"BFA",
"bin",
"build-libcurl-windows-master",
"dir",
"EXCEL",
"git",
"gnuwin32",
"inetpub",
"KB",
"koopera",
"KOOPERIA",
"MAMP",
"MediaServer",
"MinGW",
"msys32",
"output",
"PDF2JPG",
"PerfLogs",
"popu",
"Program Data",
"Program Files",
"Program Files (x86)",
"PUB",
"Python27",
"Python34",
"RecordFile",
"Ruby24",
"sh4ldr",
"Spacekace",
"src",
"SWSETUP",
"TEMB",
"TEMG",
"temp",
"test",
"tools",
"Users",
"usr",
"Util",
"Windows",
"wso2mb-3.1.0",
"xampp",
"zabbix",
"autoexec.bat","0"
"Cookies","0"
"CYGWIN_SYSLOG.TXT","1976"
"electronica.vin","827589"
"ERROR_LOG.TXT","615"
"eula.1028.txt","17734"
"eula.1031.txt","17734"
"eula.1033.txt","10134"
"eula.1036.txt","17734"
"eula.1040.txt","17734"
"eula.1041.txt","118"
"eula.1042.txt","17734"
"eula.2052.txt","17734"
"eula.3082.txt","17734"
"globdata.ini","1110"
"install.ini","843"
"install.res.1028.dll","76304"
"install.res.1031.dll","96272"
"install.res.1033.dll","91152"
"install.res.1036.dll","97296"
"install.res.1040.dll","95248"
"install.res.1041.dll","81424"
"install.res.1042.dll","79888"
"install.res.2052.dll","75792"
"install.res.3082.dll","96272"
"PLCControl-20150805.log","37993"
"PLCControl.log-20150805.log","156146144"
"Puesto.txt","1"
"test.txt","9"
"vcredist.bmp","5686"
"VC_RED.cab","1442522"
"VC_RED.MSI","232960"
"wannacry_files.txt","86"
"windows-version.txt","42"
"zabbix_agentd.conf","9917"
